id,week,num_weeks,censor,coupon,anyp
445,9,24,0,0.0024570064,72.41
445,10,24,0,0.015465007,71.52
445,11,24,0,0.1052483182,89.32
445,12,24,0,0.0655816056,56.05
445,13,24,0,0.0368004851,12.58
445,14,24,0,0.0178729572,13.33
445,15,24,0,0.0070619229,43.31
445,16,24,0,0.0020475053,41.46
445,17,24,0,0.0003617828,41.95
445,18,24,0,0.0000268709,44.47
445,19,24,0,0.00000035264646,22.9
445,20,24,0,6.07371E-11,8.82
445,21,24,0,3.103112E-22,0
445,22,24,0,0,0
445,23,24,0,0,32.2
445,24,24,1,0,33.4
446,1,24,0,0,55.61
446,2,24,0,0,55.82
446,3,24,0,0.0180370411,55.65
446,4,24,0,0.1262592877,81.17
446,5,24,0,0.078697419,74.45
446,6,24,0,0.044160582,73.82
446,7,24,0,0.0214475487,46.83
446,8,24,0,0.0084743074,0
446,9,24,0,0.0024570064,72.41
446,10,24,0,0.015465007,71.52
446,11,24,0,0.1052483182,89.32
446,12,24,0,0.0655816056,56.05
446,13,24,0,0.0368004851,12.58
446,14,24,0,0.0178729572,13.33
446,15,24,0,0.0070619229,43.31
446,16,24,0,0.0020475053,41.46
446,17,24,0,0.0003617828,41.95
446,18,24,0,0.0000268709,44.47
446,19,24,0,0.00000035264646,22.9
446,20,24,0,6.07371E-11,8.82
446,21,24,0,3.103112E-22,0
446,22,24,0,0,0
446,23,24,0,0,32.2
446,24,24,1,0,33.4
447,1,24,0,0,55.61
447,2,24,0,0,55.82
447,3,24,0,0.0180370411,55.65
447,4,24,0,0.1262592877,81.17
447,5,24,0,0.078697419,74.45
447,6,24,0,0.044160582,73.82
447,7,24,0,0.0214475487,46.83
447,8,24,0,0.0084743074,0
447,9,24,0,0.0024570064,72.41
447,10,24,0,0.015465007,71.52
447,11,24,0,0.1052483182,89.32
447,12,24,0,0.0655816056,56.05
447,13,24,0,0.0368004851,12.58
447,14,24,0,0.0178729572,13.33
447,15,24,0,0.0070619229,43.31
447,16,24,0,0.0020475053,41.46
447,17,24,0,0.0003617828,41.95
447,18,24,0,0.0000268709,44.47
447,19,24,0,0.00000035264646,22.9
447,20,24,0,6.07371E-11,8.82
447,21,24,0,3.103112E-22,0
447,22,24,0,0,0
447,23,24,0,0,32.2
447,24,24,1,0,33.4
448,1,24,0,0,55.61
448,2,24,0,0,55.82
448,3,24,0,0.0180370411,55.65
448,4,24,0,0.1262592877,81.17
448,5,24,0,0.078697419,74.45
448,6,24,0,0.044160582,73.82
448,7,24,0,0.0214475487,46.83
448,8,24,0,0.0084743074,0
448,9,24,0,0.0024570064,72.41
448,10,24,0,0.015465007,71.52
448,11,24,0,0.1052483182,89.32
448,12,24,0,0.0655816056,56.05
448,13,24,0,0.0368004851,12.58
448,14,24,0,0.0178729572,13.33
448,15,24,0,0.0070619229,43.31
448,16,24,0,0.0020475053,41.46
448,17,24,0,0.0003617828,41.95
448,18,24,0,0.0000268709,44.47
448,19,24,0,0.00000035264646,22.9
448,20,24,0,6.07371E-11,8.82
448,21,24,0,3.103112E-22,0
448,22,24,0,0,0
448,23,24,0,0,32.2
448,24,24,1,0,33.4
449,1,24,0,0,55.61
449,2,24,0,0,55.82
449,3,24,0,0.0180370411,55.65
449,4,24,0,0.1262592877,81.17
449,5,24,0,0.078697419,74.45
449,6,24,0,0.044160582,73.82
449,7,24,0,0.0214475487,46.83
449,8,24,0,0.0084743074,0
449,9,24,0,0.0024570064,72.41
449,10,24,0,0.015465007,71.52
449,11,24,0,0.1052483182,89.32
449,12,24,0,0.0655816056,56.05
449,13,24,0,0.0368004851,12.58
449,14,24,0,0.0178729572,13.33
449,15,24,0,0.0070619229,43.31
449,16,24,0,0.0020475053,41.46
449,17,24,0,0.0003617828,41.95
449,18,24,0,0.0000268709,44.47
449,19,24,0,0.00000035264646,22.9
449,20,24,0,6.07371E-11,8.82
449,21,24,0,3.103112E-22,0
449,22,24,0,0,0
449,23,24,0,0,32.2
449,24,24,1,0,33.4
450,1,24,0,0,55.61
450,2,24,0,0,55.82
450,3,24,0,0.0180370411,55.65
450,4,24,0,0.1262592877,81.17
450,5,24,0,0.078697419,74.45
450,6,24,0,0.044160582,73.82
450,7,24,0,0.0214475487,46.83
450,8,24,0,0.0084743074,0
450,9,24,0,0.0024570064,72.41
450,10,24,0,0.015465007,71.52
450,11,24,0,0.1052483182,89.32
450,12,24,0,0.0655816056,56.05
450,13,24,0,0.0368004851,12.58
450,14,24,0,0.0178729572,13.33
450,15,24,0,0.0070619229,43.31
450,16,24,0,0.0020475053,41.46
450,17,24,0,0.0003617828,41.95
450,18,24,0,0.0000268709,44.47
450,19,24,0,0.00000035264646,22.9
450,20,24,0,6.07371E-11,8.82
450,21,24,0,3.103112E-22,0
450,22,24,0,0,0
450,23,24,0,0,32.2
450,24,24,1,0,33.4
451,1,24,0,0,55.61
451,2,24,0,0,55.82
451,3,24,0,0.0180370411,55.65
451,4,24,0,0.1262592877,81.17
451,5,24,0,0.078697419,74.45
451,6,24,0,0.044160582,73.82
451,7,24,0,0.0214475487,46.83
451,8,24,0,0.0084743074,0
451,9,24,0,0.0024570064,72.41
451,10,24,0,0.015465007,71.52
451,11,24,0,0.1052483182,89.32
451,12,24,0,0.0655816056,56.05
451,13,24,0,0.0368004851,12.58
451,14,24,0,0.0178729572,13.33
451,15,24,0,0.0070619229,43.31
451,16,24,0,0.0020475053,41.46
451,17,24,0,0.0003617828,41.95
451,18,24,0,0.0000268709,44.47
451,19,24,0,0.00000035264646,22.9
451,20,24,0,6.07371E-11,8.82
451,21,24,0,3.103112E-22,0
451,22,24,0,0,0
451,23,24,0,0,32.2
451,24,24,1,0,33.4
452,1,24,0,0,55.61
452,2,24,0,0,55.82
452,3,24,0,0.0180370411,55.65
452,4,24,0,0.1262592877,81.17
452,5,24,0,0.078697419,74.45
452,6,24,0,0.044160582,73.82
452,7,24,0,0.0214475487,46.83
452,8,24,0,0.0084743074,0
452,9,24,0,0.0024570064,72.41
452,10,24,0,0.015465007,71.52
452,11,24,0,0.1052483182,89.32
452,12,24,0,0.0655816056,56.05
452,13,24,0,0.0368004851,12.58
452,14,24,0,0.0178729572,13.33
